
> skyxing-server@1.1.0 dev
> wrangler dev


 ⛅️ wrangler 3.114.17 (update available 4.112.0)
------------------------------------------------

Your Worker and resources are simulated locally via Miniflare. For more information, see: https://developers.cloudflare.com/workers/testing/local-development.

Your worker has access to the following bindings:
- KV Namespaces:
  - SKYXING_KV: 73f13dd572bc4ee58dc6946933568b9e [simulated locally]
[wrangler:inf] Ready on http://127.0.0.1:8787
⎔ Starting local server...
[wrangler:inf] GET /server/api/health 200 OK (14ms)
[wrangler:inf] POST /server/api/auth/login 200 OK (137ms)
[wrangler:inf] GET /server/api/notifications 200 OK (16ms)
[wrangler:inf] DELETE /server/api/users/me 200 OK (37ms)
[wrangler:inf] POST /server/api/auth/register 201 Created (145ms)
[wrangler:inf] POST /server/api/articles 201 Created (17ms)
[wrangler:inf] POST /server/api/articles 201 Created (22ms)
[wrangler:inf] GET /server/api/notifications 200 OK (13ms)
[wrangler:inf] GET /server/api/updates/latest 200 OK (1348ms)
[wrangler:inf] GET /server/api/updates/latest 200 OK (9ms)
[wrangler:inf] GET /server/api/updates/latest 200 OK (1391ms)
[wrangler:inf] GET /server/api/updates/latest 200 OK (8ms)
[wrangler:inf] GET /server/api/updates/latest 200 OK (10ms)
[wrangler:inf] GET /server/api/updates/latest 200 OK (22ms)
[wrangler:inf] GET /server/api/updates/latest 200 OK (13ms)
[wrangler:inf] GET /server/api/updates/latest 200 OK (20ms)
[wrangler:inf] GET /server/api/articles 200 OK (40ms)
[wrangler:inf] GET /server/api/articles/tags 200 OK (46ms)
[wrangler:inf] GET /server/api/state/version 200 OK (44ms)
[wrangler:inf] GET /server/api/state/version 200 OK (7ms)
[wrangler:inf] GET /server/api/articles 200 OK (37ms)
[wrangler:inf] GET /server/api/articles/tags 200 OK (44ms)
[wrangler:inf] GET /server/api/state/version 200 OK (45ms)
[wrangler:inf] GET /server/api/state/version 200 OK (25ms)
[wrangler:inf] GET /server/api/state/version 200 OK (7ms)
[wrangler:inf] GET /server/api/state/version 200 OK (12ms)
[wrangler:inf] GET /server/api/state/version 200 OK (3ms)
[wrangler:inf] GET /server/api/articles 200 OK (11ms)
[wrangler:inf] GET /server/api/state/version 200 OK (4ms)
[wrangler:inf] GET /server/api/state/version 200 OK (9ms)
[wrangler:inf] GET /server/api/state/version 200 OK (7ms)
[wrangler:inf] GET /server/api/articles 200 OK (23ms)
[wrangler:inf] GET /server/api/state/version 200 OK (15ms)
[wrangler:inf] GET /server/api/state/version 200 OK (15ms)
[wrangler:inf] GET /server/api/state/version 200 OK (16ms)
[wrangler:inf] GET /server/api/state/version 200 OK (7ms)
[wrangler:inf] GET /server/api/state/version 200 OK (9ms)
[wrangler:inf] GET /server/api/articles 200 OK (41ms)
[wrangler:inf] GET /server/api/state/version 200 OK (3ms)
[wrangler:inf] GET /server/api/state/version 200 OK (4ms)
[wrangler:inf] GET /server/api/articles 200 OK (18ms)
[wrangler:inf] GET /server/api/state/version 200 OK (5ms)
[wrangler:inf] GET /server/api/state/version 200 OK (4ms)
[wrangler:inf] GET /server/api/articles 200 OK (19ms)
[wrangler:inf] GET /server/api/state/version 200 OK (3ms)
